classic,existing_grail,grail,ignored_grail,issue,new_grail,old_grail,source
builtin:cloud.cloudfoundry.auctioneer.fetchDuration,dt.cloud.cloudfoundry.auctioneer.fetch_duration,,dt.runtime.go.cf.auctioneer_fetch_states_duration,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:cloud.cloudfoundry.auctioneer.taskFailed,dt.cloud.cloudfoundry.auctioneer.task_failed,,dt.runtime.go.cf.auctioneer_task_auctions_failed,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.jvm.memory.gc.collectionTime,dt.runtime.jvm.gc.total_collection_time,,dt.runtime.go.gc.collection_time,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.jvm.memory.gc.suspensionTime,dt.runtime.jvm.gc.suspension_time,,dt.runtime.go.gc.suspension_time,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.webserver.connections.socketWaitingTime,dt.runtime.apache.connections.socket_waiting_time,,dt.runtime.iis.connections.socket_waiting_time,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.webserver.requests,dt.runtime.apache.requests,,dt.runtime.iis.requests,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.webserver.threads.active,dt.runtime.apache.threads.active,,dt.runtime.iis.threads.active,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.webserver.threads.idle,dt.runtime.apache.threads.idle,,dt.runtime.iis.threads.idle,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.webserver.threads.max,dt.runtime.apache.threads.max,,dt.runtime.iis.threads.idle,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.webserver.traffic,dt.runtime.apache.traffic,,dt.runtime.iis.traffic,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.webserver.requests,dt.runtime.apache.requests,,dt.runtime.nginx.requests,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.webserver.traffic,dt.runtime.apache.traffic,,dt.runtime.nginx.traffic,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.jvm.memory.gc.collectionTime,dt.runtime.jvm.gc.total_collection_time,,dt.runtime.clr.gc.collection_time,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.jvm.memory.gc.suspensionTime,dt.runtime.jvm.gc.suspension_time,,dt.runtime.clr.gc.suspension_time,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.jvm.memory.pool.collectionTime,dt.runtime.jvm.gc.collection_time,,dt.runtime.nodejs.gc.collection_time,conflicting non-authoritative mapping ignored,,,docs scrape
builtin:tech.jvm.memory.gc.suspensionTime,dt.runtime.jvm.gc.suspension_time,,dt.runtime.nodejs.gc.suspension_time,conflicting non-authoritative mapping ignored,,,docs scrape
Classicmetrickeysbuiltin:service.errors.client.countbuiltin:service.errors.client.ratebuiltin:service.errors.total.countbuiltin:service.keyRequest.errors.client.countbuiltin:service.keyRequest.errors.client.ratebuiltin:service.request.failure_countbuiltin:service.request.failure_count_chartbuiltin:service.request.failure_count_service_aggregation,,dt.service.request.failure_count,,classic key did not look like a classic metric key,,,original yaml
Classicmetrickeysbuiltin:service.errors.client.successCountbuiltin:service.errors.fivexx.countbuiltin:service.errors.fivexx.ratebuiltin:service.errors.fivexx.successCountbuiltin:service.errors.fourxx.countbuiltin:service.errors.fourxx.ratebuiltin:service.errors.fourxx.successCountbuiltin:service.errors.server.countbuiltin:service.errors.server.ratebuiltin:service.errors.server.successCountbuiltin:service.errors.total.ratebuiltin:service.errors.total.successCountbuiltin:service.keyRequest.count.clientbuiltin:service.keyRequest.count.serverbuiltin:service.keyRequest.count.totalbuiltin:service.keyRequest.errors.client.successCountbuiltin:service.keyRequest.errors.fivexx.countbuiltin:service.keyRequest.errors.fivexx.ratebuiltin:service.keyRequest.errors.fivexx.successCountbuiltin:service.keyRequest.errors.fourxx.countbuiltin:service.keyRequest.errors.fourxx.ratebuiltin:service.keyRequest.errors.fourxx.successCountbuiltin:service.keyRequest.errors.server.countbuiltin:service.keyRequest.errors.server.ratebuiltin:service.keyRequest.errors.server.successCountbuiltin:service.keyRequest.successes.server.ratebuiltin:service.request.countbuiltin:service.request.count_chartbuiltin:service.request.count_service_aggregationbuiltin:service.requestCount.clientbuiltin:service.requestCount.serverbuiltin:service.requestCount.totalbuiltin:service.successes.server.rate,,dt.service.request.count,,classic key did not look like a classic metric key,,,original yaml
Classicmetrickeysbuiltin:service.keyRequest.response.clientbuiltin:service.keyRequest.response.serverbuiltin:service.keyRequest.response.timebuiltin:service.request.response_timebuiltin:service.request.response_time_chartbuiltin:service.request.response_time_service_aggregationbuiltin:service.response.clientbuiltin:service.response.serverbuiltin:service.response.time,,dt.service.request.response_time,,classic key did not look like a classic metric key,,,original yaml
,,dt.synthetic.third_party.availability,,blank classic or grail key,,,original yaml
builtin:tech.jvm.memory.gc.collectionTime,dt.runtime.jvm.gc.total_collection_time,,dt.runtime.clr.gc.collection_time,conflicting non-authoritative mapping ignored,,,original yaml
builtin:tech.jvm.memory.gc.suspensionTime,dt.runtime.jvm.gc.suspension_time,,dt.runtime.nodejs.gc.suspension_time,conflicting non-authoritative mapping ignored,,,original yaml
builtin:tech.jvm.memory.pool.collectionTime,dt.runtime.jvm.gc.collection_time,,dt.runtime.nodejs.gc.collection_time,conflicting non-authoritative mapping ignored,,,original yaml
builtin:tech.webserver.connections.socketWaitingTime,dt.runtime.apache.connections.socket_waiting_time,,dt.runtime.iis.connections.socket_waiting_time,conflicting non-authoritative mapping ignored,,,original yaml
builtin:tech.webserver.requests,dt.runtime.apache.requests,,dt.runtime.nginx.requests,conflicting non-authoritative mapping ignored,,,original yaml
builtin:tech.webserver.threads.active,dt.runtime.apache.threads.active,,dt.runtime.iis.threads.active,conflicting non-authoritative mapping ignored,,,original yaml
builtin:tech.webserver.threads.idle,dt.runtime.apache.threads.idle,,dt.runtime.iis.threads.idle,conflicting non-authoritative mapping ignored,,,original yaml
builtin:tech.webserver.threads.max,dt.runtime.apache.threads.max,,dt.runtime.iis.threads.idle,conflicting non-authoritative mapping ignored,,,original yaml
builtin:tech.webserver.traffic,dt.runtime.apache.traffic,,dt.runtime.nginx.traffic,conflicting non-authoritative mapping ignored,,,original yaml
builtin:tech.jvm.memory.gc.collectionTime,,,,authoritative override changed classic mapping,dt.runtime.clr.gc.collection_time,dt.runtime.jvm.gc.total_collection_time,curated yaml
builtin:tech.jvm.memory.gc.suspensionTime,,,,authoritative override changed classic mapping,dt.runtime.nodejs.gc.suspension_time,dt.runtime.jvm.gc.suspension_time,curated yaml
builtin:tech.jvm.memory.pool.collectionTime,,,,authoritative override changed classic mapping,dt.runtime.nodejs.gc.collection_time,dt.runtime.jvm.gc.collection_time,curated yaml
builtin:tech.webserver.connections.socketWaitingTime,,,,authoritative override changed classic mapping,dt.runtime.iis.connections.socket_waiting_time,dt.runtime.apache.connections.socket_waiting_time,curated yaml
builtin:tech.webserver.requests,,,,authoritative override changed classic mapping,dt.runtime.nginx.requests,dt.runtime.apache.requests,curated yaml
builtin:tech.webserver.threads.active,,,,authoritative override changed classic mapping,dt.runtime.iis.threads.active,dt.runtime.apache.threads.active,curated yaml
builtin:tech.webserver.threads.idle,,,,authoritative override changed classic mapping,dt.runtime.iis.threads.idle,dt.runtime.apache.threads.idle,curated yaml
builtin:tech.webserver.threads.max,,,,authoritative override changed classic mapping,dt.runtime.iis.threads.idle,dt.runtime.apache.threads.max,curated yaml
builtin:tech.webserver.traffic,,,,authoritative override changed classic mapping,dt.runtime.nginx.traffic,dt.runtime.apache.traffic,curated yaml
